,date,site_0,site_1,weekday,week_id,day_id,year_day
0,2009-01-01,12.010493457252954,7.510991021565209,3,-574,-4017,363
1,2009-01-02,11.227025101423289,6.960601195444482,4,-574,-4016,364
2,2009-01-03,11.433016905293806,8.219028690950065,5,-574,-4015,0
3,2009-01-04,12.034486883068451,9.530465294277434,6,-573,-4014,1
4,2009-01-05,11.880985211435737,8.711989985433489,0,-573,-4013,2
5,2009-01-06,12.86501977610723,8.995699583809587,1,-573,-4012,3
6,2009-01-07,12.241914846745084,9.093528659980722,2,-573,-4011,4
7,2009-01-08,12.400418859629564,9.414748676127362,3,-573,-4010,5
8,2009-01-09,12.340172289989365,9.452837130309067,4,-573,-4009,6
9,2009-01-10,12.440884012817644,9.436658732587025,5,-573,-4008,7
10,2009-01-11,10.815715719005626,9.820149017369001,6,-572,-4007,8
11,2009-01-12,11.123346595281475,8.811566072808548,0,-572,-4006,9
12,2009-01-13,12.697398261867434,9.751340487325049,1,-572,-4005,10
13,2009-01-14,12.719517077213274,9.176735264277387,2,-572,-4004,11
14,2009-01-15,12.413302239495271,8.37824464034188,3,-572,-4003,12
15,2009-01-16,11.649838534038873,8.627492983450043,4,-572,-4002,13
16,2009-01-17,13.202620562255852,7.518695068938981,5,-572,-4001,14
17,2009-01-18,13.961861504099154,7.535391344274128,6,-571,-4000,15
18,2009-01-19,13.639403463772485,7.645551060958972,0,-571,-3999,16
19,2009-01-20,12.74106145322198,6.682752048118902,1,-571,-3998,17
20,2009-01-21,12.487150757608354,6.333606334076215,2,-571,-3997,18
21,2009-01-22,11.865865987145199,5.486916574463673,3,-571,-3996,19
22,2009-01-23,12.313790159216396,5.583648181251424,4,-571,-3995,20
23,2009-01-24,13.033417412032174,6.309178132006322,5,-571,-3994,21
24,2009-01-25,10.904040117097734,6.482508274676887,6,-570,-3993,22
25,2009-01-26,12.472559982082087,6.754996065011524,0,-570,-3992,23
26,2009-01-27,12.28327774229809,8.022151540648439,1,-570,-3991,24
27,2009-01-28,12.70045261904063,8.989541395024895,2,-570,-3990,25
28,2009-01-29,13.926512213839283,8.706199266747914,3,-570,-3989,26
29,2009-01-30,13.682875179015138,9.647437210299953,4,-570,-3988,27
30,2009-01-31,13.070217710270075,9.466831927133052,5,-570,-3987,28
31,2009-02-01,12.274399289302393,8.953126101719114,6,-569,-3986,29
32,2009-02-02,13.345594355018612,9.681308697328976,0,-569,-3985,30
33,2009-02-03,12.833752615619018,9.074552114853851,1,-569,-3984,31
34,2009-02-04,13.328633415001237,7.170585584661408,2,-569,-3983,32
35,2009-02-05,13.10629564812699,4.824808390831352,3,-569,-3982,33
36,2009-02-06,13.80233005664504,3.923824830907361,4,-569,-3981,34
37,2009-02-07,12.69780681318645,4.02606061811877,5,-569,-3980,35
38,2009-02-08,13.150955530608496,6.456848781682906,6,-568,-3979,36
39,2009-02-09,13.475014765139054,8.237054939884064,0,-568,-3978,37
40,2009-02-10,13.5840930419864,9.619306172893069,1,-568,-3977,38
41,2009-02-11,12.613721802855213,7.7611137633572564,2,-568,-3976,39
42,2009-02-12,13.149112417596625,9.505119147277199,3,-568,-3975,40
43,2009-02-13,11.972920558637712,9.872651703251144,4,-568,-3974,41
44,2009-02-14,12.872479426029262,10.304772022247084,5,-568,-3973,42
45,2009-02-15,13.953418450407252,10.232364617250644,6,-567,-3972,43
46,2009-02-16,13.828597584865708,10.360457201953974,0,-567,-3971,44
47,2009-02-17,14.478374754077349,8.661715964143028,1,-567,-3970,45
48,2009-02-18,15.549504907673326,8.47708082063392,2,-567,-3969,46
49,2009-02-19,14.990532531203018,9.071746920095658,3,-567,-3968,47
50,2009-02-20,14.587152998389538,10.226134989891026,4,-567,-3967,48
51,2009-02-21,13.275825692673683,8.654526087964559,5,-567,-3966,49
52,2009-02-22,12.264141532387919,8.155004473550642,6,-566,-3965,50
53,2009-02-23,13.631382482620747,8.19657092726825,0,-566,-3964,51
54,2009-02-24,12.240685224284007,7.801332454445657,1,-566,-3963,52
55,2009-02-25,13.032999236963,6.845613983383236,2,-566,-3962,53
56,2009-02-26,13.461459113887425,7.895473460887428,3,-566,-3961,54
57,2009-02-27,13.21543549344318,9.258619868602812,4,-566,-3960,55
58,2009-02-28,13.068555687135504,9.320287927431515,5,-566,-3959,56
59,2009-03-01,12.434231492389333,9.21868938929076,6,-565,-3958,57
